symbol,date,direction,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,risk_points,pnl_points,rr_realized,risk_amount,pnl_amount,score,exit_reason,setup_notes
NIFTY,2025-12-11,BEARISH,2025-12-11 09:36:00,2025-12-11T09:39:00.000000,25761.6,25729.8,25810.3196,25719.0,48.7196,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-16,BEARISH,2025-12-16 11:32:00,2025-12-16T11:34:00.000000,25898.3,25893.0,25913.3,25888.15,15.0,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-16,BULLISH,2025-12-16 13:45:00,2025-12-16T13:48:00.000000,25914.9,25929.15,25895.8223,25929.15,19.0777,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-19,BEARISH,2025-12-19 11:42:00,2025-12-19T11:44:00.000000,25928.45,25916.95,25943.45,25913.4,15.0,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-19,BEARISH,2025-12-19 11:54:00,2025-12-19T11:58:00.000000,25921.35,25915.9,25942.4045,25913.4,21.0545,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-19,BULLISH,2025-12-19 13:31:00,2025-12-19T13:32:00.000000,25965.8,25966.0,25925.4804,25959.65,40.3196,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-22,BULLISH,2025-12-22 11:25:00,2025-12-22T11:50:00.000000,26126.3,26143.5,26111.3,26143.5,15.0,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-22,BEARISH,2025-12-22 12:46:00,2025-12-22T12:47:00.000000,26118.2,26121.85,26143.9554,26121.85,25.7554,30.0,3.0,750.0,2250.0,100,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-22,BULLISH,2025-12-22 13:42:00,2025-12-22T14:09:00.000000,26145.6,26130.6,26130.6,26157.95,15.0,-10.0,-1.0,750.0,-750.0,80,STOP,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-23,BEARISH,2025-12-23 11:48:00,2025-12-23T14:15:00.000000,26161.8,26210.6509,26210.6509,26120.65,48.8509,-10.0,-1.0,750.0,-750.0,90,STOP,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-24,BEARISH,2025-12-24 11:41:00,2025-12-24T11:44:00.000000,26205.15,26190.55,26220.6384,26184.15,15.4884,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-26,BEARISH,2025-12-26 12:30:00,2025-12-26T12:33:00.000000,26056.15,26048.7,26071.15,26041.65,15.0,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-26,BEARISH,2025-12-26 13:35:00,2025-12-26T14:18:00.000000,26046.1,26034.5,26061.1,26030.85,15.0,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2025-12-30,BULLISH,2025-12-30 13:40:00,2025-12-30T13:41:00.000000,25923.55,25923.85,25886.7196,25914.1,36.8304,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-01,BULLISH,2026-01-01 13:15:00,2026-01-01T13:19:00.000000,26157.25,26167.95,26140.4839,26167.95,16.7661,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-05,BULLISH,2026-01-05 09:55:00,2026-01-05T10:18:00.000000,26313.7,26358.25,26261.8687,26358.25,51.8313,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-05,BEARISH,2026-01-05 11:33:00,2026-01-05T11:34:00.000000,26318.95,26320.4,26365.2125,26320.4,46.2625,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-09,BEARISH,2026-01-09 09:50:00,2026-01-09T10:57:00.000000,25857.2,25830.55,25905.8152,25818.35,48.6152,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-12,BULLISH,2026-01-12 12:16:00,2026-01-12T12:18:00.000000,25583.4,25613.3,25489.8884,25613.3,93.5116,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-12,BULLISH,2026-01-12 12:20:00,2026-01-12T12:21:00.000000,25614.85,25614.55,25489.8884,25613.3,124.9616,30.0,3.0,750.0,2250.0,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-12,BULLISH,2026-01-12 12:26:00,2026-01-12T12:27:00.000000,25665.5,25667.5,25489.0205,25667.5,176.4795,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-16,BEARISH,2026-01-16 12:37:00,2026-01-16T12:51:00.000000,25759.0,25749.75,25834.7152,25744.9,75.7152,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-21,BULLISH,2026-01-21 12:12:00,2026-01-21T12:13:00.000000,25124.85,25124.1,25025.8884,25124.1,98.9616,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-21,BULLISH,2026-01-21 12:14:00,2026-01-21T12:17:00.000000,25136.15,25136.15,25094.6446,25136.15,41.5054,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-21,BULLISH,2026-01-21 12:18:00,2026-01-21T12:19:00.000000,25158.15,25167.9,25094.3866,25167.9,63.7634,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-23,BULLISH,2026-01-23 11:12:00,2026-01-23T11:39:00.000000,25290.25,25239.9929,25239.9929,25347.95,50.2571,-10.0,-1.0,750.0,-750.0,80,STOP,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-27,BULLISH,2026-01-27 10:34:00,2026-01-27T10:41:00.000000,25128.65,25068.4866,25068.4866,25184.95,60.1634,-10.0,-1.0,750.0,-750.0,90,STOP,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-27,BEARISH,2026-01-27 13:38:00,2026-01-27T13:39:00.000000,25053.55,25053.65,25139.6973,25027.7,86.1473,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-28,BEARISH,2026-01-28 12:22:00,2026-01-28T12:24:00.000000,25296.05,25293.15,25344.3277,25286.05,48.2777,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-28,BEARISH,2026-01-28 12:28:00,2026-01-28T12:29:00.000000,25274.25,25286.05,25344.3277,25286.05,70.0777,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-28,BEARISH,2026-01-28 12:40:00,2026-01-28T12:41:00.000000,25269.6,25269.65,25344.433,25269.0,74.833,30.0,3.0,750.0,2250.0,100,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-01-30,BEARISH,2026-01-30 11:29:00,2026-01-30T11:30:00.000000,25258.95,25262.0,25312.025,25262.0,53.075,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-01,BULLISH,2026-02-01 11:07:00,2026-02-01T11:09:00.000000,25382.5,25440.9,25342.7295,25440.9,39.7705,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-01,BEARISH,2026-02-01 12:11:00,2026-02-01T12:12:00.000000,25267.8,25264.05,25368.0125,25203.4,100.2125,30.0,3.0,750.0,2250.0,100,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-02,BULLISH,2026-02-02 12:56:00,2026-02-02T12:59:00.000000,24910.95,24944.5,24875.9009,24944.5,35.0491,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-03,BEARISH,2026-02-03 13:34:00,2026-02-03T13:35:00.000000,25759.3,25758.65,25805.7982,25744.0,46.4982,30.0,3.0,750.0,2250.0,100,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-09,BEARISH,2026-02-09 12:52:00,2026-02-09T12:54:00.000000,25827.25,25824.8,25864.6054,25821.65,37.3554,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-10,BULLISH,2026-02-10 13:05:00,2026-02-10T13:19:00.000000,25971.05,25953.7741,25953.7741,25989.45,17.2759,-10.0,-1.0,750.0,-750.0,80,STOP,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-10,BEARISH,2026-02-10 13:22:00,2026-02-10T13:23:00.000000,25936.3,25947.5,25984.442,25947.5,48.142,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-10,BEARISH,2026-02-10 13:30:00,2026-02-10T13:31:00.000000,25919.3,25927.45,25984.6536,25927.45,65.3536,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDH_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-13,BULLISH,2026-02-13 12:33:00,2026-02-13T12:34:00.000000,25588.65,25604.25,25553.6143,25604.25,35.0357,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-16,BEARISH,2026-02-16 09:43:00,2026-02-16T10:12:00.000000,25466.6,25536.6384,25536.6384,25372.7,70.0384,-10.0,-1.0,750.0,-750.0,80,STOP,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-17,BULLISH,2026-02-17 13:07:00,2026-02-17T13:09:00.000000,25745.55,25761.6,25712.4429,25761.6,33.1071,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-17,BULLISH,2026-02-17 13:19:00,2026-02-17T13:37:00.000000,25736.1,25761.6,25712.4429,25761.6,23.6571,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-18,BULLISH,2026-02-18 12:07:00,2026-02-18T12:08:00.000000,25712.55,25716.55,25675.408,25716.55,37.142,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-24,BEARISH,2026-02-24 10:45:00,2026-02-24T10:49:00.000000,25493.0,25476.7,25514.0688,25471.6,21.0687,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-25,BULLISH,2026-02-25 09:56:00,2026-02-25T09:59:00.000000,25583.8,25603.4,25551.8857,25603.4,31.9143,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-25,BEARISH,2026-02-25 11:40:00,2026-02-25T11:41:00.000000,25588.65,25602.3,25634.7527,25602.3,46.1027,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-25,BEARISH,2026-02-25 12:13:00,2026-02-25T12:32:00.000000,25598.85,25586.5,25623.192,25581.05,24.342,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-26,BULLISH,2026-02-26 09:45:00,2026-02-26T10:10:00.000000,25564.5,25567.6,25482.0795,25567.6,82.4205,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-02-26,BULLISH,2026-02-26 11:18:00,2026-02-26T11:26:00.000000,25536.95,25567.6,25482.0107,25567.6,54.9393,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-04,BULLISH,2026-03-04 10:26:00,2026-03-04T10:27:00.000000,24425.15,24437.35,24372.6938,24437.35,52.4563,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-04,BULLISH,2026-03-04 10:45:00,2026-03-04T11:07:00.000000,24400.25,24437.35,24372.6938,24437.35,27.5563,30.0,3.0,750.0,2250.0,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-04,BULLISH,2026-03-04 11:07:00,2026-03-04T11:09:00.000000,24433.75,24453.4,24367.0241,24453.4,66.7259,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-09,BULLISH,2026-03-09 10:50:00,2026-03-09T10:54:00.000000,23791.0,23862.35,23743.1812,23862.35,47.8187,30.0,3.0,750.0,2250.0,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-09,BULLISH,2026-03-09 10:56:00,2026-03-09T10:57:00.000000,23886.2,23887.2,23743.1812,23862.35,143.0187,30.0,3.0,750.0,2250.0,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-09,BULLISH,2026-03-09 11:35:00,2026-03-09T11:39:00.000000,23889.15,23904.8,23773.817,23904.8,115.333,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-10,BULLISH,2026-03-10 13:38:00,2026-03-10T13:39:00.000000,24256.6,24262.85,24183.5411,24262.85,73.0589,30.0,3.0,750.0,2250.0,90,TARGET,BOS;OB_mitigation;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-11,BEARISH,2026-03-11 13:38:00,2026-03-11T14:18:00.000000,23959.95,23929.4,23988.2393,23913.45,28.2893,30.0,3.0,750.0,2250.0,80,TARGET,BOS;OB_mitigation;vwap_aligned;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
NIFTY,2026-03-12,BULLISH,2026-03-12 10:37:00,2026-03-12T10:38:00.000000,23711.35,23720.0,23579.642,23720.0,131.708,30.0,3.0,750.0,2250.0,100,TARGET,BOS;OB_mitigation;PDL_confluence;vwap_aligned;volume_expansion;lots=1;margin=120000.0;Ratio;trig=choch;sl=5m_origin
